Error Type	Frequency
wording	269
missing-word	115
extra-comma	104
wrong-quots	90
missing-comma	77
bracket4comma	71
nonit4it	63
extra-word	59
nominal-inflection	56
extra-commas	39
missing-letter	38
missing-commas	37
extra-bracket	36
missing-dash	35
upper4lower-common	34
missing-space	32
missing-words	30
lower4upper-proper	29
extra-letter	29
merged-words	28
number4word	23
agreement-pred	21
extra-words	20
extra-dash	16
it4nonit	15
missing-period	15
gendered	15
comma4period	14
wrong-prep	14
ind4sub	13
split-word	13
def4ind	12
extra-space	11
extra-conjunction	11
nn4n	11
extra-quots	11
compound-collocation	11
ind4def	10
split-compound	10
letter-rep	10
missing-accent	10
fw	10
verb-inflection	9
n4nn	9
conjunction4comma	9
bracket4period	9
agreement-concord	7
agreement	7
pres4past	7
nonword	7
extra-period	7
comma4conjunction	6
comma4bracket	6
word4number	6
conjunction4period	6
upper4lower-proper	6
singular4plural	5
extra-accent	5
period-plus-conjunction	5
noun4pro	5
cont4simple	5
missing-conjunction	5
past4pres	5
name-error	5
abbreviation-period	5
swapped-letters	5
agreement-pro	5
period4conjunction	5
extra-colon	4
conjunction	4
period4comma	4
fw4ice	4
af4að	4
missing-colon	4
wrong-dash	4
upper4lower-noninitial	3
missing-quots	3
aux	3
comma4semicolon	3
lower4upper-initial	3
lower4upper-acro	2
missing-bracket	2
foreign-error	2
plural4singular	2
repeat-word	2
ý4í	2
colon4period	2
comma4colon	2
y4i	2
repeat-word-split	2
missing-quot	2
collocation-idiom	2
pro4noun	2
missing-semicolon	2
zzz	2
collocation	2
comma-plus-conjunction	2
conjunction-drop	2
double-punctuation	1
wrong-accent	1
extra-abbreviation	1
unicelandic	1
abbreviation4words	1
adjective-inflection	1
period4semicolon	1
have	1
marked4unmarked	1
loan-syntax	1
dir4loc	1
sub4ind	1
comma4ex	1
split-words	1
í4ý	1
að4af	1
loc4dir	1
date-period	1
caps4low	1
each	1
bracket4square	1
i4y	1
adv4adj	1
missing-slash	1
extra-semicolon	1
colon4comma	1
ordinal-period	1
dash4period	1
date-abbreviation	1
dash4comma	1
period4qm	0
v3-subordinate	0
extra-punctuation	0
ice4fw	0
word4symbol	0
adj4adv	0
simple4cont	0
extra-qm	0
nonsup4sup	0
xxx	0
comma4dash	0
missing-inf-part	0
conjunction4semicolon	0
dash4semicolon	0
extra-square	0
ex4period	0
extra-symbol	0
missing-ex	0
semicolon4comma	0
compound-nonword	0
reflexive4noun	0
noun4dem	0
style	0
dem4noun	0
v3	0
dots4comma	0
word4dash	0
dash4colon	0
dative-sub	0
hypercorr	0
period4colon	0
kv4hv	0
ngnk	0
u4y	0
gen-escape	0
dash4word	0
acc4nom-sub	0
square4bracket	0
new-passive	0
indef-pro	0
qm4ex	0
punctuation	0
iteration-colon	0
taboo-word	0
missing-symbol	0
pers4dem	0
bad-contraction	0
dem4pers	0
extra-number	0
period4dash	0
want	0
extra-inf-part	0
period4ex	0
extra-quot	0
abbreviation	0
pronun-writing	0
hv4kv	0
pro4reflexive	0
qm4period	0
symbol4number	0
semicolon4colon	0
nom4acc-sub	0
symbol4word	0
comma4dots	0
sup4nonsup	0
context	0
ex4comma	0
missing-qm	0
missing-square	0
bracket4slash	0
number4symbol	0
conjunction4qm	0
slash4or	0
qm4comma	0
semicolon4period	0
words4abbreviation	0
dots4period	0
comma4qm	0
reflexive4pro	0
misplaced-quot	0
slash4dash	0
dem-pro	0
