Error Type	Frequency
wording	22
nonword	9
ind4sub	8
extra-word	8
missing-letter	7
agreement-pred	6
missing-word	6
style	5
nn4n	5
n4nn	3
agreement	3
nominal-inflection	3
compound-nonword	3
merged-words	3
missing-commas	3
agreement-concord	3
comma4period	2
extra-words	2
collocation-idiom	2
lower4upper-initial	2
missing-words	2
compound-collocation	2
split-word	2
agreement-pro	2
missing-period	2
period4comma	1
ý4í	1
verb-inflection	1
adjective-inflection	1
extra-letter	1
split-compound	1
conjunction4period	1
cont4simple	1
swapped-letters	1
loc4dir	1
split-words	1
missing-comma	1
gendered	1
collocation	1
extra-abbreviation	1
pro4reflexive	1
extra-period	1
wrong-prep	1
period-plus-conjunction	1
conjunction-drop	1
number4word	1
each	1
double-punctuation	1
missing-conjunction	1
caps4low	1
period4qm	0
missing-space	0
lower4upper-acro	0
dash4period	0
abbreviation-period	0
adj4adv	0
colon4comma	0
date-abbreviation	0
sub4ind	0
acc4nom-sub	0
wrong-quots	0
dots4comma	0
semicolon4colon	0
missing-ex	0
hypercorr	0
wrong-accent	0
missing-accent	0
comma4qm	0
bad-contraction	0
aux	0
missing-colon	0
extra-square	0
conjunction	0
missing-quot	0
fw	0
period4dash	0
slash4dash	0
extra-number	0
indef-pro	0
comma4dots	0
wrong-dash	0
new-passive	0
comma4bracket	0
it4nonit	0
comma4dash	0
repeat-word-split	0
extra-conjunction	0
comma-plus-conjunction	0
word4symbol	0
ice4fw	0
lower4upper-proper	0
nonsup4sup	0
dem4noun	0
að4af	0
simple4cont	0
extra-inf-part	0
comma4conjunction	0
qm4ex	0
adv4adj	0
bracket4square	0
number4symbol	0
comma4colon	0
upper4lower-common	0
ordinal-period	0
missing-inf-part	0
word4number	0
conjunction4comma	0
ngnk	0
hv4kv	0
i4y	0
missing-symbol	0
letter-rep	0
square4bracket	0
misplaced-quot	0
def4ind	0
y4i	0
symbol4word	0
semicolon4comma	0
ex4period	0
dash4comma	0
abbreviation4words	0
name-error	0
period4colon	0
xxx	0
noun4dem	0
ind4def	0
qm4comma	0
comma4ex	0
period4ex	0
have	0
dots4period	0
upper4lower-noninitial	0
past4pres	0
marked4unmarked	0
abbreviation	0
nonit4it	0
extra-qm	0
pres4past	0
nom4acc-sub	0
dash4colon	0
extra-semicolon	0
context	0
dash4word	0
foreign-error	0
missing-semicolon	0
want	0
bracket4period	0
extra-comma	0
word4dash	0
extra-symbol	0
extra-commas	0
reflexive4noun	0
extra-quot	0
period4conjunction	0
singular4plural	0
fw4ice	0
noun4pro	0
repeat-word	0
missing-bracket	0
colon4period	0
period4semicolon	0
upper4lower-proper	0
semicolon4period	0
extra-quots	0
conjunction4semicolon	0
punctuation	0
dative-sub	0
dir4loc	0
extra-accent	0
qm4period	0
loan-syntax	0
conjunction4qm	0
taboo-word	0
í4ý	0
missing-slash	0
v3	0
extra-colon	0
missing-qm	0
dem-pro	0
reflexive4pro	0
extra-dash	0
bracket4comma	0
ex4comma	0
comma4semicolon	0
v3-subordinate	0
kv4hv	0
extra-space	0
words4abbreviation	0
missing-dash	0
pers4dem	0
missing-square	0
sup4nonsup	0
symbol4number	0
dash4semicolon	0
bracket4slash	0
gen-escape	0
unicelandic	0
extra-bracket	0
zzz	0
missing-quots	0
extra-punctuation	0
plural4singular	0
iteration-colon	0
pronun-writing	0
date-period	0
pro4noun	0
af4að	0
dem4pers	0
slash4or	0
u4y	0
