Error Type	Frequency
wording	146
dep	144
extra-comma	86
missing-comma	55
missing-word	54
extra-commas	41
nominal-inflection	40
extra-word	34
missing-commas	32
missing-space	30
missing-letter	29
missing-dash	28
extra-letter	26
lower4upper-proper	24
xxx	24
merged-words	22
number4word	20
upper4lower-common	18
gendered	17
wrong-prep	16
missing-words	16
extra-dash	13
wrong-quots	12
extra-words	12
fw	11
split-word	10
agreement-pred	10
def4ind	10
missing-period	10
compound-collocation	10
ind4def	9
extra-conjunction	8
missing-accent	7
split-compound	7
extra-space	7
letter-rep	6
ind4sub	6
nn4n	6
word4number	5
n4nn	5
nonword	5
pres4past	5
upper4lower-proper	5
verb-inflection	5
singular4plural	4
agreement-concord	4
noun4pro	4
conjunction4period	4
extra-accent	4
swapped-letters	4
abbreviation-period	4
agreement	3
name-error	3
agreement-pro	3
conjunction4comma	3
comma4period	3
missing-quots	3
nonit4it	3
upper4lower-noninitial	3
cont4simple	3
aux	3
extra-period	3
period-plus-conjunction	3
missing-conjunction	3
period4comma	2
y4i	2
foreign-error	2
extra-bracket	2
period4conjunction	2
lower4upper-acro	2
comma-plus-conjunction	2
dash4comma	1
af4að	1
marked4unmarked	1
plural4singular	1
zzz	1
it4nonit	1
date-period	1
missing-colon	1
fw4ice	1
ordinal-period	1
loan-syntax	1
unicelandic	1
have	1
sub4ind	1
dir4loc	1
comma4ex	1
missing-slash	1
adjective-inflection	1
comma4conjunction	1
past4pres	1
each	1
period4semicolon	1
abbreviation4words	1
adv4adj	1
collocation	1
taboo-word	1
í4ý	1
conjunction	1
að4af	1
bad-contraction	0
pro4reflexive	0
square4bracket	0
conjunction-drop	0
extra-inf-part	0
pro4noun	0
extra-number	0
slash4or	0
colon4comma	0
period4colon	0
nom4acc-sub	0
nonsup4sup	0
punctuation	0
qm4ex	0
extra-symbol	0
ý4í	0
caps4low	0
comma4bracket	0
missing-quot	0
adj4adv	0
i4y	0
qm4period	0
symbol4number	0
period4ex	0
dative-sub	0
comma4semicolon	0
word4dash	0
v3	0
v3-subordinate	0
extra-semicolon	0
ex4period	0
loc4dir	0
missing-inf-part	0
qm4comma	0
semicolon4colon	0
bracket4period	0
reflexive4noun	0
symbol4word	0
simple4cont	0
comma4colon	0
extra-quot	0
context	0
semicolon4period	0
collocation-idiom	0
dash4period	0
missing-square	0
u4y	0
comma4dots	0
dem-pro	0
double-punctuation	0
period4dash	0
ngnk	0
missing-ex	0
dem4pers	0
bracket4square	0
compound-nonword	0
dash4colon	0
sup4nonsup	0
bracket4slash	0
want	0
gen-escape	0
indef-pro	0
comma4qm	0
iteration-colon	0
wrong-accent	0
kv4hv	0
ice4fw	0
bracket4comma	0
dots4period	0
period4qm	0
conjunction4qm	0
split-words	0
dem4noun	0
date-abbreviation	0
extra-square	0
pers4dem	0
comma4dash	0
extra-abbreviation	0
semicolon4comma	0
acc4nom-sub	0
pronun-writing	0
extra-qm	0
colon4period	0
reflexive4pro	0
word4symbol	0
hv4kv	0
missing-degree	0
misplaced-quot	0
new-passive	0
abbreviation	0
lower4upper-initial	0
dash4semicolon	0
slash4dash	0
extra-punctuation	0
extra-colon	0
words4abbreviation	0
missing-qm	0
hypercorr	0
style	0
missing-symbol	0
extra-quots	0
missing-semicolon	0
dots4comma	0
ex4comma	0
wrong-dash	0
missing-bracket	0
