Error Type	Frequency
wording	140
missing-word	104
nonit4it	88
bracket4comma	85
extra-bracket	47
missing-words	43
missing-comma	42
extra-comma	35
extra-word	29
missing-dash	26
upper4lower-common	20
it4nonit	19
nominal-inflection	18
extra-words	17
nonword	15
missing-conjunction	15
extra-quots	13
agreement-pred	12
comma4period	10
extra-colon	10
bracket4period	10
missing-period	9
missing-letter	9
number4word	8
lower4upper-proper	7
comma4bracket	6
extra-letter	6
conjunction	6
conjunction4comma	6
comma4conjunction	6
missing-colon	6
missing-bracket	6
extra-conjunction	5
split-compound	5
wrong-dash	4
fw4ice	4
extra-space	4
agreement	4
extra-dash	4
merged-words	4
missing-space	4
letter-rep	4
compound-collocation	4
def4ind	4
missing-accent	4
past4pres	3
period4conjunction	3
af4að	3
extra-period	3
style	3
comma4semicolon	3
compound-nonword	3
pro4noun	3
pres4past	3
missing-commas	2
ind4def	2
ý4í	2
split-word	2
conjunction4period	2
abbreviation-period	2
period4comma	2
verb-inflection	2
name-error	2
date-period	2
extra-punctuation	2
semicolon4comma	2
extra-commas	2
colon4period	2
comma4colon	2
missing-semicolon	2
extra-semicolon	2
nn4n	2
plural4singular	2
ind4sub	2
gendered	1
foreign-error	1
wrong-quots	1
wrong-accent	1
adj4adv	1
bracket4square	1
word4number	1
colon4comma	1
n4nn	1
agreement-pro	1
dash4period	1
date-abbreviation	1
period-plus-conjunction	1
dash4word	1
lower4upper-initial	1
i4y	1
missing-quots	1
extra-accent	1
singular4plural	1
upper4lower-noninitial	1
noun4pro	1
conjunction-drop	1
ex4period	0
ex4comma	0
abbreviation4words	0
comma-plus-conjunction	0
fw	0
cont4simple	0
pronun-writing	0
extra-square	0
agreement-concord	0
extra-qm	0
dots4period	0
zzz	0
u4y	0
comma4dots	0
missing-symbol	0
dash4semicolon	0
v3-subordinate	0
qm4period	0
wrong-prep	0
adv4adj	0
repeat-word-split	0
square4bracket	0
number4symbol	0
extra-number	0
misplaced-quot	0
hypercorr	0
reflexive4pro	0
dots4comma	0
að4af	0
dir4loc	0
word4symbol	0
qm4comma	0
want	0
simple4cont	0
ordinal-period	0
collocation	0
sub4ind	0
unicelandic	0
dem4noun	0
swapped-letters	0
reflexive4noun	0
semicolon4period	0
split-words	0
symbol4number	0
v3	0
gen-escape	0
sup4nonsup	0
conjunction4semicolon	0
extra-abbreviation	0
nonsup4sup	0
context	0
repeat-word	0
extra-symbol	0
í4ý	0
new-passive	0
each	0
aux	0
nom4acc-sub	0
conjunction4qm	0
lower4upper-acro	0
adjective-inflection	0
have	0
double-punctuation	0
iteration-colon	0
missing-inf-part	0
missing-quot	0
comma4dash	0
dem-pro	0
taboo-word	0
semicolon4colon	0
pro4reflexive	0
dem4pers	0
noun4dem	0
loc4dir	0
kv4hv	0
dash4colon	0
indef-pro	0
caps4low	0
symbol4word	0
upper4lower-proper	0
period4dash	0
comma4qm	0
bad-contraction	0
missing-ex	0
comma4ex	0
acc4nom-sub	0
loan-syntax	0
extra-quot	0
punctuation	0
missing-square	0
dash4comma	0
bracket4slash	0
dative-sub	0
marked4unmarked	0
pers4dem	0
slash4or	0
ice4fw	0
qm4ex	0
extra-inf-part	0
xxx	0
period4ex	0
word4dash	0
y4i	0
period4colon	0
ngnk	0
period4qm	0
missing-qm	0
slash4dash	0
missing-slash	0
words4abbreviation	0
abbreviation	0
period4semicolon	0
hv4kv	0
collocation-idiom	0
