Error Type	Frequency
wording	354
missing-word	182
extra-comma	122
missing-comma	102
nonit4it	97
wrong-quots	90
nonword	88
bracket4comma	85
extra-word	76
nominal-inflection	75
missing-words	67
missing-dash	65
missing-letter	52
extra-bracket	49
missing-commas	43
upper4lower-common	42
extra-commas	42
merged-words	39
missing-space	39
extra-letter	38
it4nonit	32
lower4upper-proper	31
extra-words	31
agreement-pred	30
compound-collocation	30
number4word	28
missing-conjunction	22
missing-period	21
extra-space	20
style	20
extra-dash	18
compound-nonword	18
comma4period	18
ind4sub	17
def4ind	17
gendered	16
wrong-prep	15
split-word	14
extra-quots	14
extra-conjunction	14
split-compound	14
missing-accent	13
nn4n	13
agreement	12
fw	11
name-error	11
ind4def	11
n4nn	10
extra-colon	10
verb-inflection	10
letter-rep	10
bracket4period	10
conjunction4period	9
extra-period	9
agreement-concord	9
conjunction4comma	9
pres4past	9
comma4conjunction	8
abbreviation-period	8
missing-colon	7
noun4pro	7
agreement-pro	7
conjunction	7
fw4ice	6
missing-quots	6
word4number	6
comma4bracket	6
upper4lower-proper	6
missing-bracket	6
swapped-letters	6
period4comma	6
cont4simple	5
past4pres	5
plural4singular	5
extra-accent	5
singular4plural	5
period4conjunction	5
period-plus-conjunction	5
foreign-error	5
missing-quot	4
upper4lower-noninitial	4
pro4noun	4
wrong-dash	4
aux	4
af4að	4
lower4upper-acro	3
ý4í	3
unicelandic	3
comma4semicolon	3
conjunction-drop	3
collocation	3
lower4upper-initial	3
date-period	3
sub4ind	2
extra-semicolon	2
repeat-word-split	2
colon4period	2
repeat-word	2
adjective-inflection	2
comma4colon	2
missing-slash	2
missing-semicolon	2
extra-punctuation	2
y4i	2
collocation-idiom	2
comma-plus-conjunction	2
semicolon4comma	2
dir4loc	1
loc4dir	1
adv4adj	1
caps4low	1
dash4comma	1
í4ý	1
extra-quot	1
each	1
pronun-writing	1
bracket4square	1
colon4comma	1
date-abbreviation	1
dash4word	1
pro4reflexive	1
gen-escape	1
ordinal-period	1
wrong-accent	1
have	1
adj4adv	1
double-punctuation	1
comma4ex	1
abbreviation4words	1
i4y	1
loan-syntax	1
reflexive4pro	1
extra-abbreviation	1
dash4period	1
að4af	1
period4semicolon	1
marked4unmarked	1
split-words	1
missing-inf-part	1
ex4comma	0
extra-square	0
indef-pro	0
noun4dem	0
zzz	0
kv4hv	0
words4abbreviation	0
dem4noun	0
abbreviation	0
xxx	0
want	0
taboo-word	0
symbol4word	0
dots4period	0
qm4period	0
conjunction4semicolon	0
acc4nom-sub	0
symbol4number	0
extra-inf-part	0
extra-number	0
word4dash	0
conjunction4qm	0
u4y	0
bracket4slash	0
missing-qm	0
number4symbol	0
dash4semicolon	0
v3	0
sup4nonsup	0
word4symbol	0
period4dash	0
period4qm	0
nonsup4sup	0
comma4dash	0
semicolon4colon	0
qm4ex	0
dots4comma	0
extra-symbol	0
comma4qm	0
period4ex	0
context	0
simple4cont	0
missing-symbol	0
bad-contraction	0
nom4acc-sub	0
slash4or	0
dem4pers	0
ngnk	0
semicolon4period	0
dash4colon	0
qm4comma	0
missing-square	0
missing-ex	0
hv4kv	0
square4bracket	0
punctuation	0
pers4dem	0
period4colon	0
hypercorr	0
reflexive4noun	0
ice4fw	0
new-passive	0
iteration-colon	0
comma4dots	0
misplaced-quot	0
dem-pro	0
dative-sub	0
v3-subordinate	0
extra-qm	0
slash4dash	0
ex4period	0
